Gender,Age Group,Marital Status,Children Group,Education Level,Employment Status,Social Class,Count
Female,Up to 29,Married,2 children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,1
Female,Up to 29,Married,2 children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper class,1
Female,Up to 29,Married,2 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Lower middle class,1
Female,Up to 29,Married,2 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Upper middle class,1
Female,Up to 29,Married,2 children,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Lower middle class,1
Female,Up to 29,Married,2 children,Lower secondary education (ISCED 2),Housewife not otherwise employed,Lower class,1
Female,30-49,Married,1 child,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Upper middle class,1
Female,Up to 29,Married,2 children,Lower secondary education (ISCED 2),Housewife not otherwise employed,Working class,1
Male,30-49,Divorced,1 child,Upper secondary education (ISCED 3),Part-time employee (less than 30 hours a week),Working class,1
Female,Up to 29,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,1
Female,Up to 29,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,1
Female,Up to 29,Married,2 children,Primary education (ISCED 1),Part-time employee (less than 30 hours a week),Lower middle class,1
Female,Up to 29,Married,2 children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Lower class,1
Female,Up to 29,Married,2 children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Working class,1
Female,Up to 29,Married,2 children,Early childhood education (ISCED 0) / no education,Full-time employee (30 hours a week or more),Working class,1
Male,30-49,Divorced,1 child,Upper secondary education (ISCED 3),Retired/pensioned,Lower class,1
Female,Up to 29,Married,3 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Upper middle class,1
Female,Up to 29,Married,3 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Lower middle class,1
Female,Up to 29,Married,4 or more children,Lower secondary education (ISCED 2),Housewife not otherwise employed,Working class,1
Female,Up to 29,Divorced,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,1
Male,30-49,Married,4 or more children,Lower secondary education (ISCED 2),Full-time employee (30 hours a week or more),Working class,1
Male,30-49,Married,4 or more children,Lower secondary education (ISCED 2),Self-employed,Upper middle class,1
Male,30-49,Married,4 or more children,Lower secondary education (ISCED 2),Self-employed,Lower middle class,1
Female,30-49,Married,1 child,Lower secondary education (ISCED 2),Full-time employee (30 hours a week or more),Lower middle class,1
Male,30-49,Married,4 or more children,Lower secondary education (ISCED 2),Self-employed,Working class,1
Female,30-49,Married,1 child,Primary education (ISCED 1),Other (write in),Lower class,1
Male,30-49,Married,4 or more children,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Working class,1
Male,30-49,Married,4 or more children,Upper secondary education (ISCED 3),Part-time employee (less than 30 hours a week),Lower middle class,1
Male,30-49,Married,4 or more children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,1
Female,30-49,Married,1 child,Primary education (ISCED 1),Part-time employee (less than 30 hours a week),Lower middle class,1
Male,30-49,Married,4 or more children,Bachelor or equivalent (ISCED 6),Part-time employee (less than 30 hours a week),Lower middle class,1
Female,30-49,Married,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Upper middle class,1
Female,30-49,Married,1 child,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Lower class,1
Male,30-49,Married,4 or more children,Bachelor or equivalent (ISCED 6),Self-employed,Working class,1
Male,30-49,Divorced,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,1
Female,30-49,Married,1 child,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Upper middle class,1
Male,30-49,Divorced,1 child,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Upper middle class,1
Female,Up to 29,Divorced,1 child,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Upper middle class,1
Female,Up to 29,Divorced,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,1
Female,50 and more,Divorced,4 or more children,Early childhood education (ISCED 0) / no education,Full-time employee (30 hours a week or more),Working class,1
